😇GG频道,#genre#
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8 
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8 
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8 
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8 
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8 
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8 
IPTV高清院线,http://119.39.128.18:88/hls/34/index.m3u8
IPTV抗战剧场,http://119.39.128.18:88/hls/35/index.m3u8
IPTV古装剧场,http://119.39.128.18:88/hls/36/index.m3u8
IPTV经典剧场,http://119.39.128.18:88/hls/37/index.m3u8
J2,http://120.84.96.196:808/hls/86/index.m3u8 
J2,http://120.84.96.221:808/hls/86/index.m3u8 
J2,http://120.84.96.222:808/hls/86/index.m3u8 
八度空间,http://51.79.82.208:16005
东森电影台,http://120.84.96.55:808/hls/32/index.m3u8
美国中文台,https://jpts.sinovision.net/livestream.m3u8
新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡亚太台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
FOX新闻台,http://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
J2,http://120.84.96.161:808/hls/86/index.m3u8 
J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
J2,http://120.132.122.244:59845/hls/81/index.m3u8
无线财经•资讯台,http://120.84.96.74:808/hls/86/index.m3u8 
无线财经•资讯台,http://120.132.122.244:59845/hls/82/index.m3u8
耀才财经新闻,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000?zgangd
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

🏆新闻频道,#genre#
東森新聞全球速報,https://ytb.52sf.ga/jmsytb.m3u8?c=21
東森新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=9
YOYO TV,https://ytb.52sf.ga/jmsytb.m3u8?c=28
TVBS新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=45
ABC News,https://ytb.52sf.ga/jmsytb.m3u8?c=7
華視綜藝,https://ytb.52sf.ga/jmsytb.m3u8?c=34
民視新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=3
NASA TV2,https://ytb.52sf.ga/jmsytb.m3u8?c=30
鏡新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=20
KBS Kr,https://ytb.52sf.ga/jmsytb.m3u8?c=25
Sky News,https://ytb.52sf.ga/jmsytb.m3u8?c=11
三立海外,https://ytb.52sf.ga/jmsytb.m3u8?c=10
中天新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=1
ABC News-AU,https://ytb.52sf.ga/jmsytb.m3u8?c=23
NASA TV,https://ytb.52sf.ga/jmsytb.m3u8?c=29
ANN News,https://ytb.52sf.ga/jmsytb.m3u8?c=16
寰宇新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=15
中視新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=8
Bloomberg Global Financial News,https://ytb.52sf.ga/jmsytb.m3u8?c=14
DW News,https://ytb.52sf.ga/jmsytb.m3u8?c=18
鳳凰中文,https://ytb.52sf.ga/jmsytb.m3u8?c=19
龍華桌逰,https://ytb.52sf.ga/jmsytb.m3u8?c=39
NBC News,https://ytb.52sf.ga/jmsytb.m3u8?c=33
FRANCE 24,https://ytb.52sf.ga/jmsytb.m3u8?c=13
MBC News,https://ytb.52sf.ga/jmsytb.m3u8?c=24

🎑【BESTV】,#genre#
百视独播,http://tvmvip110.club/bs.php?id=124
百视独播2,http://tvmvip110.club/bs.php?id=126
百视独播3,http://tvmvip110.club/bs.php?id=128
百视独播4,http://tvmvip110.club/bs.php?id=247
百视独播5,http://tvmvip110.club/bs.php?id=144
百视自制,http://tvmvip110.club/bs.php?id=213
百视自制2,http://tvmvip110.club/bs.php?id=216
百视直播,http://tvmvip110.club/bs.php?id=146
百视TV1,http://tvmvip110.club/bs.php?id=27
百视TV2,http://tvmvip110.club/bs.php?id=33
百视TV3,http://tvmvip110.club/bs.php?id=41
百视TV4,http://tvmvip110.club/bs.php?id=52
百视TV5,http://tvmvip110.club/bs.php?id=59
百视TV6,http://tvmvip110.club/bs.php?id=76
百视TV7,http://tvmvip110.club/bs.php?id=96
百视TV8,http://tvmvip110.club/bs.php?id=186
百视TV9,http://tvmvip110.club/bs.php?id=193
百视TV10,http://tvmvip110.club/bs.php?id=201
百视TV11,http://tvmvip110.club/bs.php?id=218
百视TV12,http://tvmvip110.club/bs.php?id=229
百视TV13,http://tvmvip110.club/bs.php?id=228
百视TV14,http://tvmvip110.club/bs.php?id=246
上海都市,http://tvmvip110.club/bs.php?id=18
哈哈炫动,http://tvmvip110.club/bs.php?id=19
上海新闻综合,http://tvmvip110.club/bs.php?id=20
东方卫视,http://tvmvip110.club/bs.php?id=22
第一财经,http://tvmvip110.club/bs.php?id=21
纪实人文,http://tvmvip110.club/bs.php?id=28

😻综合频道,#genre#
TVBS新闻台,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8?blog.ntnas.top
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8?blog.ntnas.top
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?blog.ntnas.top
中天新闻,http://60.251.39.247:8504/http/192.168.77.24:8081/hls/78/80/ch63max.m3u8?blog.ntnas.top
靖天卡通台,http://50.7.220.74:8278/jingtiancartoon_twn/playlist.m3u8?tid=m1465dab025b5&ct=18335&tsum=ba935e583d90bfbe1d1d9662e9ac600c
中天综合,http://50.7.220.74:8278/ctizhonghe/playlist.m3u8?tid=MBBB1520797915207979&ct=19193&tsum=3a6f7f0c591c2ec6678d51b741f290b2
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8?blog.ntnas.top
原住民电视台,https://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8?blog.ntnas.top
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top

🏆新闻频道,#genre#
CNA,https://ytb.52sf.ga/jmsytb.m3u8?c=31
東森財經,https://ytb.52sf.ga/jmsytb.m3u8?c=12
鳳凰新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=42
台視新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=6
三立 iNEWS,https://ytb.52sf.ga/jmsytb.m3u8?c=17
半岛新闻-英语,https://ytb.52sf.ga/jmsytb.m3u8?c=2
東森新聞全球速報,https://ytb.52sf.ga/jmsytb.m3u8?c=21
東森新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=9
YOYO TV,https://ytb.52sf.ga/jmsytb.m3u8?c=28
TVBS新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=45
ABC News,https://ytb.52sf.ga/jmsytb.m3u8?c=7
華視綜藝,https://ytb.52sf.ga/jmsytb.m3u8?c=34
民視新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=3
NASA TV2,https://ytb.52sf.ga/jmsytb.m3u8?c=30
鏡新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=20
KBS Kr,https://ytb.52sf.ga/jmsytb.m3u8?c=25
Sky News,https://ytb.52sf.ga/jmsytb.m3u8?c=11
三立海外,https://ytb.52sf.ga/jmsytb.m3u8?c=10
中天新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=1
ABC News-AU,https://ytb.52sf.ga/jmsytb.m3u8?c=23
NASA TV,https://ytb.52sf.ga/jmsytb.m3u8?c=29
ANN News,https://ytb.52sf.ga/jmsytb.m3u8?c=16
寰宇新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=15
中視新聞,https://ytb.52sf.ga/jmsytb.m3u8?c=8
Bloomberg Global Financial News,https://ytb.52sf.ga/jmsytb.m3u8?c=14
DW News,https://ytb.52sf.ga/jmsytb.m3u8?c=18
鳳凰中文,https://ytb.52sf.ga/jmsytb.m3u8?c=19
龍華桌逰,https://ytb.52sf.ga/jmsytb.m3u8?c=39
NBC News,https://ytb.52sf.ga/jmsytb.m3u8?c=33
FRANCE 24,https://ytb.52sf.ga/jmsytb.m3u8?c=13
MBC News,https://ytb.52sf.ga/jmsytb.m3u8?c=24

💞TV频道,#genre#
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
经典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
CHC动作电影,http://125.40.191.58:9901/tsfile/live/1002_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1#http://117.148.179.157/PLTV/88888888/224/3221231580/index.m3u8#http://117.148.179.157/PLTV/88888888/224/3221232945/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8#http://117.148.179.138/PLTV/88888888/224/3221231580/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC家庭影院,http://125.40.191.58:9901/tsfile/live/1001_1.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://117.148.179.157/PLTV/88888888/224/3221232942/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://gxfrg007.8800.org:8282/tsfile/live/1096_1.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240323_1/playlist.m3u8?CONTENTID=00000110240323_1#http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8
CHC高清電影,http://gxfrg007.8800.org:8282/tsfile/live/1097_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
翡翠台,http://113.64.147.66:808/hls/67/index.m3u8 
翡翠台,http://113.64.147.72:808/hls/67/index.m3u8 
翡翠台,http://113.64.147.88:808/hls/67/index.m3u8 
翡翠台,http://113.64.147.91:808/hls/67/index.m3u8 
TVB星河,http://113.64.147.46:808/hls/135/index.m3u8 
TVB星河,http://113.64.147.51:808/hls/135/index.m3u8 
TVB星河,http://113.64.147.66:808/hls/135/index.m3u8 
TVB星河,http://113.64.147.72:808/hls/135/index.m3u8 
tvb影视,http://hms563nc1880172786.live.aikan.miguvideo.com/wh7f454c46tw3279865347_1298155843/PLTV/88888888/224/3221231733/1.m3u8 
J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
J2,http://120.84.96.195:808/hls/86/index.m3u8 
J2,http://120.84.96.196:808/hls/86/index.m3u8 
J2,http://120.84.96.221:808/hls/86/index.m3u8 
J2,http://120.84.96.222:808/hls/86/index.m3u8 
香港有線新聞,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
八度空间,http://51.79.82.208:16005
天映频道,http://51.79.82.208:16024
经典再现,http://112.19.214.90:8883/tsfile/live/1009_1.m3u8
高清影院,http://112.19.214.90:8883/tsfile/live/1011_1.m3u8
每日影院,http://beifeng.site:4000/udp/239.3.1.111:8001
幸福剧场,http://beifeng.site:4000/udp/239.3.1.112:8001
幸福娱乐,http://beifeng.site:4000/udp/239.3.1.113:8001
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8 
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8 
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8 
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8 
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8 
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8 
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8 
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8 
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8 
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8 
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8 
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8 
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8 
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8 
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8 
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8 
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8 
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0 
澳门综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8 
澳门综艺,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8 
澳门综艺,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8 
澳门综艺,http://61.244.22.4/ch6/_definst_/hd_ch6.live/playlist.m3u8
TVBS新闻台,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8 
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8 
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8 
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8 
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8 
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8 
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
民视新闻(5G),http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台视新闻(5G),http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
TVBS新闻(5G),http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
东森新闻美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森超视美洲,http://38.64.72.148:80/hls/modn/list/2018/chunklist0.m3u8
东森财经美洲,http://38.64.72.148:80/hls/modn/list/2021/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
东森美洲卫视,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
HBO,http://vips-livecdn.fptplay.net/hda1/hbo_vhls.smil/chunklist_b5000000.m3u8?bycoca
HBO,https://vips-livecdn.fptplay.net/hda1/hbo_vhls.smil/chunklist_b2500000.m3u8
HBO,http://vips-livecdn.fptplay.net/hda1/hbo_vhls.smil/chunklist_b5000000.m3u8?bycoca
HBO,http://vips-livecdn.fptplay.net/hda1/hbo_vhls.smil/chunklist_b5000000.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8?zgangd
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
唯心電視 (480p),http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
大愛1 (720p),https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2 (720p),https://pulltv2.wanfudaluye.com/live/tv2.m3u8
好消息电视台1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
好消息电视台2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
大立電視 (720p),http://www.dalitv.com.tw:4568/live/dali/index.m3u8

😚热播大片,#genre#
神探大战,http://tvmvip110.live/view.php/81319c32521b6618fec17625e4471927.mp4
这个杀手不太冷静,http://tvmvip110.live/view.php/81319c32521b6618fec17625e4471927.mp4
雷神4,http://tvmvip110.live/view.php/81319c32521b6618fec17625e4471927.mp4
独行月球,http://tvmvip110.live/view.php/81319c32521b6618fec17625e4471927.mp4
魔女2,http://mmmitv.top/test/kdy.php?i ... o&type=dinary&opt=0
日班猎人，https://jisuxhzy.com/videos/202208/12/62f67fa0a991d45a83907a53/f3384g/index.m3u8
侏罗纪世界3,https://aqyxhzy.com/videos/62c683b39fdeb17f94084933/f7cc23/index.m3u8
子弹列车,https://ku6xhzy.com/20220927/MUhgcTQc/index.m3u8
外太空的莫扎特,https://jisuxhzy.com/videos/202208/12/62f63030c6503259cec9a808/g2e9b1/index.m3u8
蜘蛛侠英雄无归,https://jisuxhzy.com/videos/202208/25/6307252274f18e5b9e541be2/09ag39/index.m3u8
狩猎,https://ku6xhzy.com/20220929/vSm4GoH7/index.m3u8
肖申克的救赎,https://jisuxhzy.com/videos/202206/08/62a0f33a1383fe3e1ecdec1b/87762a/index.m3u8
奇艺博士2,https://aqyxhzy.com/videos/62b2e7ab6ee4307a5b56319a/b16gac/index.m3u8
雷神4,https://hnzy3.hnzycdn.com:65/20220907/3HU2FchE/index.m3u8
日班猎人,https://m3u8.zhisongip.com:38741/video/d1c6072693806c03e217bb6b5ca26e25.m3u8
魔女2,https://aqy-xhzy.com/videos/62d2676e5582537ee159f220/11be5g/index.m3u8
青面修罗,https://m3u8.zhisongip.com:38741/video/a2a99731570679b584b8272cada3143d.m3u8
猎屠,https://m3u8.zhisongip.com:38741/video/7cf9bf5d3a6416fcefd6e269b719f4b0.m3u8
龙岭迷窟,https://m3u8.zhisongip.com:38741/video/5c4a609a73e0e4ac5f7dfe87cac6bbed.m3u8
侏罗纪世界3,https://m3u8.zhisongip.com:38741/video/1ef9bb59428975cff6657c5fca7ecc26.m3u8
奇迹·笨小孩,https://m3u8.zhisongip.com:38741/video/1bedbb80668c08900b095c3851114ed8.m3u8
黑客帝国4,https://m3u8.zhisongip.com:38741/video/6549699b60cbbb397a7bb388c7602321.m3u8
惊声尖叫5,https://m3u8.zhisongip.com:38741/video/51f05115dc56c41e87f5ba5b0c31840c.m3u8
长津湖,https://m3u8.zhisongip.com:38741/video/7614f55717c6ada7f467f9b1e33db86b.m3u8
让子弹飞,https://m3u8.zhisongip.com:38741/video/b6050fae5e52f197fe3f0552e4bdeb7d.m3u8
毒液2,https://m3u8.zhisongip.com:38741/video/50269c0f74939298f07c937712d08422.m3u8
007：无暇赴死，https://m3u8.zhisongip.com:38741/video/10d0ddc1bcce4c0a76509d84760fa664.m3u8
蜘蛛侠：英雄无归,https://m3u8.zhisongip.com:38741/video/98a24feb66be553a9cc12be4331c0421.m3u8
13条命,https://m3u8.zhisongip.com:38741/video/9c7e85322da189ffefa574e2719a558d.m3u8
铁血战士：猎物,https://m3u8.zhisongip.com:38741/video/e71b52697572d073587bb0b30cce50bd.m3u8
神探大战,https://m3u8.zhisongip.com:38741/video/46491b86fe973eddf8106d8be4f6f891.m3u8
奇异博士2,https://m3u8.zhisongip.com:38741/video/3099f403c3231082756f81aa33694921.m3u8
逃狱兄弟3,https://m3u8.zhisongip.com:38741/video/58d86b3fe376edc4c7ee041ff8ae5722.m3u8
冲出地球,https://m3u8.zhisongip.com:38741/video/67c2e0b0cfd204a51abca9db80e376cc.m3u8
人生大事,https://m3u8.zhisongip.com:38741/video/fa4cc5b15bafd9e29680aa2c8d66d633.m3u8
外太空的莫扎特,https://m3u8.zhisongip.com:38741/video/6b5c173718354a0b9e959aeb0b470d51.m3u8
分手的决心,https://m3u8.zhisongip.com:38741/video/aa435fccf2fa26c52b8b3e23a1b091c1.m3u8
隐入尘烟,https://m3u8.zhisongip.com:38741/video/dc4fbd1e954be9b5bb88eba9e52c86a9.m3u8

🍺女团频道,#genre#
韩国歌团★001,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240095359203.mp4
韩国歌团★002,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239978750464.mp4
韩国歌团★003,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239858729476.mp4
韩国歌团★004,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239755956819.mp4
韩国歌团★005,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239987758613.mp4
韩国歌团★006,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239880949246.mp4
韩国歌团★007,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239903717006.mp4
韩国歌团★008,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239903321355.mp4
韩国歌团★009,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239799872402.mp4
韩国歌团★010,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239799088974.mp4
韩国歌团★011,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240024786285.mp4
韩国歌团★012,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240142715042.mp4
韩国歌团★013,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240025046562.mp4
韩国歌团★014,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240145171654.mp4
韩国歌团★015,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240147051191.mp4
韩国歌团★016,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239805200933.mp4
韩国歌团★017,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239910253332.mp4
韩国歌团★018,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239806164759.mp4
韩国歌团★019,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239807872136.mp4
韩国歌团★020,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240032526123.mp4
韩国歌团★021,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239808028600.mp4
韩国歌团★022,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240031614983.mp4
韩国歌团★023,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240150331617.mp4
韩国歌团★024,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239809100782.mp4
韩国歌团★025,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240151167718.mp4
